Repositorie Name,Repositorie URL,Number Of Stars,Number Of Forks,Number Of Issues
Kotlin-Playground,https://github.com//android10/Kotlin-Playground,0,1,0
synology-monitoring-prometheus,https://github.com//android10/synology-monitoring-prometheus,0,8,0
Rust-Proactive-Introduction,https://github.com//android10/Rust-Proactive-Introduction,3,0,0
Android-CleanArchitecture-Kotlin,https://github.com//android10/Android-CleanArchitecture-Kotlin,4k,842,73
Typescript-Playground,https://github.com//android10/Typescript-Playground,1,0,0
Typescript-Everywhere,https://github.com//android10/Typescript-Everywhere,4,0,0
linux.github.io,https://github.com//android10/linux.github.io,2,0,1
archive,https://github.com//android10/archive,0,49,0
android10,https://github.com//android10/android10,3,5,2
Kotlin-Everywhere,https://github.com//android10/Kotlin-Everywhere,30,1,0
ktor-rest-api-docker-bootstrap,https://github.com//android10/ktor-rest-api-docker-bootstrap,3,1,0
Rust-Everywhere,https://github.com//android10/Rust-Everywhere,6,2,0
ktor-dockerizer,https://github.com//android10/ktor-dockerizer,3,0,0
Android-CleanArchitecture,https://github.com//android10/Android-CleanArchitecture,15.2k,3.4k,128
legacy-android10.github.io,https://github.com//android10/legacy-android10.github.io,17,10,3
java-code-styles,https://github.com//android10/java-code-styles,289,779,0
mandrake,https://github.com//android10/mandrake,0,0,0
learning-web-development,https://github.com//android10/learning-web-development,1,0,0
android-trinity,https://github.com//android10/android-trinity,44,6,0
engineering-leadership,https://github.com//android10/engineering-leadership,38,3,0
vipi,https://github.com//android10/vipi,0,0,0
doggy,https://github.com//android10/doggy,3,1,0
Sample-Data,https://github.com//android10/Sample-Data,5,14,0
github-calendar,https://github.com//android10/github-calendar,0,159,0
Android-FeatureFlags,https://github.com//android10/Android-FeatureFlags,11,3,0
arch-linux-utils,https://github.com//android10/arch-linux-utils,5,1,0
awesome-sre,https://github.com//android10/awesome-sre,1,1.1k,0
postmortem-templates,https://github.com//android10/postmortem-templates,1,326,0
tale,https://github.com//android10/tale,0,843,0
sketches,https://github.com//android10/sketches,14,1,0
RaspberryPi-Wireguard,https://github.com//android10/RaspberryPi-Wireguard,17,5,0
build-your-own-x,https://github.com//android10/build-your-own-x,2,13.7k,0
Anni,https://github.com//android10/Anni,0,1,0
Inside_Android_ListView,https://github.com//android10/Inside_Android_ListView,7,1,0
engineering-management,https://github.com//android10/engineering-management,13,303,0
Javascript-Samples,https://github.com//android10/Javascript-Samples,3,2,0
Kotlin-Cracking-The-Engineer-Interview,https://github.com//android10/Kotlin-Cracking-The-Engineer-Interview,41,13,0
interviews,https://github.com//android10/interviews,18,12.1k,0
Instapixel,https://github.com//android10/Instapixel,1,1,0
Docker-Examples,https://github.com//android10/Docker-Examples,4,2,0
Presentations,https://github.com//android10/Presentations,8,2,0
Cognitive-Samples,https://github.com//android10/Cognitive-Samples,23,6,0
mediumish-theme-jekyll,https://github.com//android10/mediumish-theme-jekyll,1,1.1k,0
Android-KotlinInTests,https://github.com//android10/Android-KotlinInTests,91,13,0
Multi-Threading-Samples,https://github.com//android10/Multi-Threading-Samples,42,4,1
arrow,https://github.com//android10/arrow,449,37,6
frodo,https://github.com//android10/frodo,1.5k,105,14
Android-AOPExample,https://github.com//android10/Android-AOPExample,419,135,3
Android-ReactiveProgramming,https://github.com//android10/Android-ReactiveProgramming,225,46,1
frodo2,https://github.com//android10/frodo2,143,14,8
Workshop-Android-Chatbot,https://github.com//android10/Workshop-Android-Chatbot,23,2,0
HelloDockerScalaSbt,https://github.com//android10/HelloDockerScalaSbt,0,11,0
two-daggers,https://github.com//android10/two-daggers,12,4,2
arch-linux-dell,https://github.com//android10/arch-linux-dell,1,2,0
java-code-examples,https://github.com//android10/java-code-examples,11,5,0
Scala_ExercisesAndPractices,https://github.com//android10/Scala_ExercisesAndPractices,2,0,0
best-practices,https://github.com//android10/best-practices,4,295,0
gandalf,https://github.com//android10/gandalf,4,1,0
aragorn,https://github.com//android10/aragorn,1,1,1
engineering-blogs,https://github.com//android10/engineering-blogs,11,1.9k,0
Fast-Food-Reality,https://github.com//android10/Fast-Food-Reality,22,7,0
MyResumeAndroidApp,https://github.com//android10/MyResumeAndroidApp,11,4,0
Android-AnnotationsSample,https://github.com//android10/Android-AnnotationsSample,9,4,0
java-design-patterns,https://github.com//android10/java-design-patterns,34,23.4k,0
DynamicProxy_Java_Sample,https://github.com//android10/DynamicProxy_Java_Sample,33,22,0
Inside_Android_Testing,https://github.com//android10/Inside_Android_Testing,52,14,1
VimStuff,https://github.com//android10/VimStuff,0,1,0
interviewproblems,https://github.com//android10/interviewproblems,21,92,0
AndroidApplicationTestingSample,https://github.com//android10/AndroidApplicationTestingSample,5,3,0
nfc_android_sample,https://github.com//android10/nfc_android_sample,27,8,0
